Crowd Accuracy,Crowd Confidence,RF Accuracy,RF Confidence,Majority Vote Accuracy,crowd_id
0.7215400000000002,0.7999200000000001,0.92,0.6934850793650795,0.8633333333333333,0
0.6873333333333335,0.8362999999999998,0.8666666666666667,0.6724139153439153,0.79,1
0.6980000000000001,0.83782,0.8666666666666667,0.7261502116402117,0.8033333333333333,2
0.6733399999999999,0.8169199999999998,0.9466666666666667,0.7530068253968255,0.76,3
0.7233333333333333,0.8142266666666668,0.88,0.744401645021645,0.84,4
0.6848866666666666,0.80622,0.8133333333333334,0.6796242857142858,0.78,5
0.7069,0.8190933333333333,0.76,0.6598369841269841,0.79,6
0.68866,0.8387266666666667,0.8533333333333334,0.6967564550264551,0.7766666666666666,7
0.6766733333333333,0.84222,0.8266666666666667,0.6684147619047619,0.78,8
0.6913333333333334,0.8167799999999998,0.84,0.690697671957672,0.8033333333333333,9
0.7117733333333334,0.8026466666666667,0.84,0.6992815873015873,0.8133333333333334,10
0.7246666666666667,0.8223999999999999,0.88,0.6603313227513228,0.82,11
0.6908866666666668,0.8600199999999999,0.8666666666666667,0.7255039682539682,0.7833333333333333,12
0.7273266666666665,0.8266933333333334,0.7866666666666666,0.6673109523809525,0.8033333333333333,13
0.68978,0.7949933333333333,0.8666666666666667,0.7077012698412698,0.7566666666666667,14
0.6580066666666665,0.8176799999999999,0.84,0.6709757142857142,0.7633333333333333,15
0.7124533333333335,0.8188399999999998,0.8933333333333333,0.7155712698412698,0.8033333333333333,16
0.7451,0.8074000000000001,0.8666666666666667,0.7065411111111111,0.87,17
0.6755666666666668,0.8327600000000001,0.8,0.6552499999999999,0.8,18
0.7220066666666668,0.8073466666666668,0.92,0.7296800000000001,0.84,19
0.72288,0.7990600000000002,0.9733333333333334,0.7394738095238095,0.8433333333333334,20
0.6984466666666667,0.82154,0.8666666666666667,0.7051846031746032,0.82,21
0.7039866666666668,0.7927333333333332,0.8666666666666667,0.6940820634920635,0.8066666666666666,22
0.6960066666666668,0.7951866666666665,0.88,0.7141450793650794,0.8133333333333334,23
0.6993333333333335,0.8033266666666665,0.8533333333333334,0.6948750793650794,0.8166666666666667,24
0.7102266666666667,0.8497266666666667,0.9066666666666666,0.7447015873015873,0.8433333333333334,25
0.68844,0.8349133333333333,0.8133333333333334,0.6501783597883597,0.7933333333333333,26
0.7084533333333333,0.8230266666666667,0.9066666666666666,0.7326528571428571,0.7866666666666666,27
0.72288,0.8236266666666666,0.9066666666666666,0.7296661904761905,0.8233333333333334,28
0.6628799999999999,0.81432,0.8133333333333334,0.6892587301587301,0.75,29
0.6733466666666666,0.8419533333333333,0.8666666666666667,0.6788279365079365,0.7733333333333333,30
0.72622,0.8106066666666666,0.92,0.7360479365079364,0.86,31
0.7222133333333333,0.7944733333333333,0.84,0.7059195238095239,0.8466666666666667,32
0.7437800000000002,0.8191533333333333,0.8933333333333333,0.7067290476190475,0.8833333333333333,33
0.7331133333333335,0.8064533333333335,0.8533333333333334,0.6985825396825397,0.7933333333333333,34
0.7175533333333334,0.8144666666666665,0.9333333333333333,0.7596915873015873,0.7933333333333333,35
0.7044466666666666,0.8068466666666668,0.8533333333333334,0.7078524867724868,0.8133333333333334,36
0.6982200000000002,0.8318,0.84,0.6905793650793651,0.7933333333333333,37
0.7271133333333334,0.8315400000000001,0.9066666666666666,0.7413023280423281,0.86,38
0.7002266666666667,0.8300333333333334,0.8133333333333334,0.7082669841269842,0.7966666666666666,39
0.6957666666666665,0.8269599999999999,0.8533333333333334,0.6676208465608466,0.8066666666666666,40
0.7051066666666668,0.8107466666666667,0.8933333333333333,0.6655218518518518,0.8366666666666667,41
0.7073266666666667,0.8127133333333334,0.92,0.7150987830687829,0.8133333333333334,42
0.6553466666666666,0.8574866666666666,0.8533333333333334,0.7177311111111111,0.7366666666666667,43
0.6904533333333335,0.81644,0.8666666666666667,0.6905131746031746,0.7666666666666667,44
0.6973266666666667,0.8087466666666666,0.88,0.6889485714285715,0.8033333333333333,45
0.7022266666666668,0.7920466666666666,0.8933333333333333,0.7610626984126984,0.8166666666666667,46
